1-Wire/iButton Part Number: DS1921G-F5
1-Wire/iButton Registration Number: 7600000062466721
Is Mission Active?  true
Mission Start:  Thu Jun 29 10:00:00 PDT 2023
Sample Rate:  Every 60 minute(s)
Number of Mission Samples:  313
Total Samples:  313
Roll Over Enabled?  true
Roll Over Occurred?  Roll over has NOT occurred
Active Alarms:  None fired
Next Clock Alarm At:  Disabled
High Temperature Alarm:  85 °C
Low Temperature Alarm:  -40 °C

Date/Time,Unit,Value
6/29/23 10:00:00 AM,C,19.5
6/29/23 11:00:00 AM,C,24
6/29/23 12:00:00 PM,C,26
6/29/23 1:00:00 PM,C,23
6/29/23 2:00:00 PM,C,31.5
6/29/23 3:00:00 PM,C,28
6/29/23 4:00:00 PM,C,29.5
6/29/23 5:00:00 PM,C,29
6/29/23 6:00:00 PM,C,27
6/29/23 7:00:00 PM,C,26.5
6/29/23 8:00:00 PM,C,24.5
6/29/23 9:00:00 PM,C,21.5
6/29/23 10:00:00 PM,C,20.5
6/29/23 11:00:00 PM,C,20
6/30/23 12:00:00 AM,C,18
6/30/23 1:00:00 AM,C,17.5
6/30/23 2:00:00 AM,C,16.5
6/30/23 3:00:00 AM,C,15.5
6/30/23 4:00:00 AM,C,15
6/30/23 5:00:00 AM,C,15
6/30/23 6:00:00 AM,C,15
6/30/23 7:00:00 AM,C,15
6/30/23 8:00:00 AM,C,15
6/30/23 9:00:00 AM,C,16
6/30/23 10:00:00 AM,C,17
6/30/23 11:00:00 AM,C,18.5
6/30/23 12:00:00 PM,C,21.5
6/30/23 1:00:00 PM,C,24.5
6/30/23 2:00:00 PM,C,25.5
6/30/23 3:00:00 PM,C,27.5
6/30/23 4:00:00 PM,C,28.5
6/30/23 5:00:00 PM,C,28.5
6/30/23 6:00:00 PM,C,27.5
6/30/23 7:00:00 PM,C,27
6/30/23 8:00:00 PM,C,24
6/30/23 9:00:00 PM,C,21.5
6/30/23 10:00:00 PM,C,20
6/30/23 11:00:00 PM,C,18.5
7/1/23 12:00:00 AM,C,16.5
7/1/23 1:00:00 AM,C,15
7/1/23 2:00:00 AM,C,13.5
7/1/23 3:00:00 AM,C,13
7/1/23 4:00:00 AM,C,12
7/1/23 5:00:00 AM,C,11.5
7/1/23 6:00:00 AM,C,11
7/1/23 7:00:00 AM,C,11.5
7/1/23 8:00:00 AM,C,14
7/1/23 9:00:00 AM,C,16.5
7/1/23 10:00:00 AM,C,19
7/1/23 11:00:00 AM,C,21.5
7/1/23 12:00:00 PM,C,24
7/1/23 1:00:00 PM,C,24.5
7/1/23 2:00:00 PM,C,26
7/1/23 3:00:00 PM,C,27
7/1/23 4:00:00 PM,C,28
7/1/23 5:00:00 PM,C,27
7/1/23 6:00:00 PM,C,26
7/1/23 7:00:00 PM,C,26
7/1/23 8:00:00 PM,C,24
7/1/23 9:00:00 PM,C,21
7/1/23 10:00:00 PM,C,20
7/1/23 11:00:00 PM,C,19
7/2/23 12:00:00 AM,C,17.5
7/2/23 1:00:00 AM,C,16.5
7/2/23 2:00:00 AM,C,15.5
7/2/23 3:00:00 AM,C,15
7/2/23 4:00:00 AM,C,14
7/2/23 5:00:00 AM,C,13.5
7/2/23 6:00:00 AM,C,13.5
7/2/23 7:00:00 AM,C,14
7/2/23 8:00:00 AM,C,16.5
7/2/23 9:00:00 AM,C,18
7/2/23 10:00:00 AM,C,21
7/2/23 11:00:00 AM,C,23
7/2/23 12:00:00 PM,C,25
7/2/23 1:00:00 PM,C,25
7/2/23 2:00:00 PM,C,27
7/2/23 3:00:00 PM,C,28
7/2/23 4:00:00 PM,C,29.5
7/2/23 5:00:00 PM,C,30
7/2/23 6:00:00 PM,C,30
7/2/23 7:00:00 PM,C,31.5
7/2/23 8:00:00 PM,C,30.5
7/2/23 9:00:00 PM,C,26
7/2/23 10:00:00 PM,C,23.5
7/2/23 11:00:00 PM,C,21.5
7/3/23 12:00:00 AM,C,19.5
7/3/23 1:00:00 AM,C,18.5
7/3/23 2:00:00 AM,C,17
7/3/23 3:00:00 AM,C,16
7/3/23 4:00:00 AM,C,15
7/3/23 5:00:00 AM,C,13.5
7/3/23 6:00:00 AM,C,13.5
7/3/23 7:00:00 AM,C,14.5
7/3/23 8:00:00 AM,C,17.5
7/3/23 9:00:00 AM,C,20
7/3/23 10:00:00 AM,C,22.5
7/3/23 11:00:00 AM,C,24.5
7/3/23 12:00:00 PM,C,26
7/3/23 1:00:00 PM,C,27
7/3/23 2:00:00 PM,C,29
7/3/23 3:00:00 PM,C,30
7/3/23 4:00:00 PM,C,31
7/3/23 5:00:00 PM,C,31.5
7/3/23 6:00:00 PM,C,31
7/3/23 7:00:00 PM,C,31
7/3/23 8:00:00 PM,C,30
7/3/23 9:00:00 PM,C,26.5
7/3/23 10:00:00 PM,C,24.5
7/3/23 11:00:00 PM,C,22.5
7/4/23 12:00:00 AM,C,20
7/4/23 1:00:00 AM,C,19.5
7/4/23 2:00:00 AM,C,18
7/4/23 3:00:00 AM,C,17.5
7/4/23 4:00:00 AM,C,16
7/4/23 5:00:00 AM,C,15.5
7/4/23 6:00:00 AM,C,15
7/4/23 7:00:00 AM,C,16
7/4/23 8:00:00 AM,C,18.5
7/4/23 9:00:00 AM,C,21
7/4/23 10:00:00 AM,C,24.5
7/4/23 11:00:00 AM,C,25.5
7/4/23 12:00:00 PM,C,27.5
7/4/23 1:00:00 PM,C,28.5
7/4/23 2:00:00 PM,C,29.5
7/4/23 3:00:00 PM,C,32
7/4/23 4:00:00 PM,C,32.5
7/4/23 5:00:00 PM,C,33
7/4/23 6:00:00 PM,C,33
7/4/23 7:00:00 PM,C,34
7/4/23 8:00:00 PM,C,32.5
7/4/23 9:00:00 PM,C,29
7/4/23 10:00:00 PM,C,26.5
7/4/23 11:00:00 PM,C,24
7/5/23 12:00:00 AM,C,22.5
7/5/23 1:00:00 AM,C,21
7/5/23 2:00:00 AM,C,20
7/5/23 3:00:00 AM,C,18.5
7/5/23 4:00:00 AM,C,17.5
7/5/23 5:00:00 AM,C,16.5
7/5/23 6:00:00 AM,C,16.5
7/5/23 7:00:00 AM,C,17.5
7/5/23 8:00:00 AM,C,20
7/5/23 9:00:00 AM,C,23.5
7/5/23 10:00:00 AM,C,26.5
7/5/23 11:00:00 AM,C,29
7/5/23 12:00:00 PM,C,31
7/5/23 1:00:00 PM,C,31.5
7/5/23 2:00:00 PM,C,32.5
7/5/23 3:00:00 PM,C,33.5
7/5/23 4:00:00 PM,C,35
7/5/23 5:00:00 PM,C,35.5
7/5/23 6:00:00 PM,C,35
7/5/23 7:00:00 PM,C,36
7/5/23 8:00:00 PM,C,34
7/5/23 9:00:00 PM,C,30.5
7/5/23 10:00:00 PM,C,27
7/5/23 11:00:00 PM,C,25
7/6/23 12:00:00 AM,C,23
7/6/23 1:00:00 AM,C,21
7/6/23 2:00:00 AM,C,20
7/6/23 3:00:00 AM,C,18
7/6/23 4:00:00 AM,C,16.5
7/6/23 5:00:00 AM,C,15.5
7/6/23 6:00:00 AM,C,15
7/6/23 7:00:00 AM,C,14.5
7/6/23 8:00:00 AM,C,16
7/6/23 9:00:00 AM,C,18
7/6/23 10:00:00 AM,C,21.5
7/6/23 11:00:00 AM,C,23.5
7/6/23 12:00:00 PM,C,25.5
7/6/23 1:00:00 PM,C,27
7/6/23 2:00:00 PM,C,27.5
7/6/23 3:00:00 PM,C,29
7/6/23 4:00:00 PM,C,30
7/6/23 5:00:00 PM,C,29
7/6/23 6:00:00 PM,C,26.5
7/6/23 7:00:00 PM,C,25
7/6/23 8:00:00 PM,C,24
7/6/23 9:00:00 PM,C,20
7/6/23 10:00:00 PM,C,17.5
7/6/23 11:00:00 PM,C,16.5
7/7/23 12:00:00 AM,C,15.5
7/7/23 1:00:00 AM,C,15
7/7/23 2:00:00 AM,C,14.5
7/7/23 3:00:00 AM,C,13.5
7/7/23 4:00:00 AM,C,13.5
7/7/23 5:00:00 AM,C,13
7/7/23 6:00:00 AM,C,13.5
7/7/23 7:00:00 AM,C,14
7/7/23 8:00:00 AM,C,14
7/7/23 9:00:00 AM,C,15
7/7/23 10:00:00 AM,C,16.5
7/7/23 11:00:00 AM,C,17.5
7/7/23 12:00:00 PM,C,19.5
7/7/23 1:00:00 PM,C,21.5
7/7/23 2:00:00 PM,C,23
7/7/23 3:00:00 PM,C,24
7/7/23 4:00:00 PM,C,24.5
7/7/23 5:00:00 PM,C,24
7/7/23 6:00:00 PM,C,22.5
7/7/23 7:00:00 PM,C,22.5
7/7/23 8:00:00 PM,C,21
7/7/23 9:00:00 PM,C,18
7/7/23 10:00:00 PM,C,16.5
7/7/23 11:00:00 PM,C,15.5
7/8/23 12:00:00 AM,C,15
7/8/23 1:00:00 AM,C,14.5
7/8/23 2:00:00 AM,C,14
7/8/23 3:00:00 AM,C,13.5
7/8/23 4:00:00 AM,C,13
7/8/23 5:00:00 AM,C,13.5
7/8/23 6:00:00 AM,C,13.5
7/8/23 7:00:00 AM,C,14
7/8/23 8:00:00 AM,C,14.5
7/8/23 9:00:00 AM,C,15.5
7/8/23 10:00:00 AM,C,16
7/8/23 11:00:00 AM,C,16
7/8/23 12:00:00 PM,C,19
7/8/23 1:00:00 PM,C,21
7/8/23 2:00:00 PM,C,22
7/8/23 3:00:00 PM,C,24.5
7/8/23 4:00:00 PM,C,27
7/8/23 5:00:00 PM,C,26.5
7/8/23 6:00:00 PM,C,25.5
7/8/23 7:00:00 PM,C,25.5
7/8/23 8:00:00 PM,C,23
7/8/23 9:00:00 PM,C,19.5
7/8/23 10:00:00 PM,C,17.5
7/8/23 11:00:00 PM,C,16.5
7/9/23 12:00:00 AM,C,15.5
7/9/23 1:00:00 AM,C,15.5
7/9/23 2:00:00 AM,C,14.5
7/9/23 3:00:00 AM,C,14
7/9/23 4:00:00 AM,C,13
7/9/23 5:00:00 AM,C,12
7/9/23 6:00:00 AM,C,11.5
7/9/23 7:00:00 AM,C,12
7/9/23 8:00:00 AM,C,14
7/9/23 9:00:00 AM,C,16.5
7/9/23 10:00:00 AM,C,19.5
7/9/23 11:00:00 AM,C,21.5
